Scheme,Ring number,Age,Sex,Wing,Weight,Day,Month,Year,Time
NOS,7453852,A,M,133,95,21,12,2006,14
BLB,23Z56852,A,M,134,106,25,11,2012,9
SFH,A559350,A,M,135,125,29,1,1994,9
SFH,A559350,A,M,135,113,5,2,1994,10
SFH,A559350,A,M,135,111,12,2,1994,8
SFH,A559350,A,M,134,105,15,2,1994,8
GBT,CL58401,F,M,136,111,11,2,2004,8
GBT,CL58402,F,M,127,103,23,2,2004,13
GBT,CL58402,F,M,127,102,26,2,2004,9
GBT,CL58403,F,M,126,104,25,2,2004,11
GBT,CL58404,F,F,125,97,26,2,2004,9
GBT,CL58405,F,M,135,102,27,2,2004,10
GBT,CL58406,F,M,135,126,27,2,2004,15
GBT,CL58406,F,M,135,121,2,3,2004,12
GBT,CL58421,J,U,125,88,27,5,2004,14
GBT,CL58421,J,U,123,90,8,6,2004,17
GBT,CL58428,F,M,135,101,30,6,2004,13
GBT,CL58432,J,M,129,100,7,9,2004,8
GBT,CL58432,F,M,129,98,4,3,2005,16
GBT,CL58432,F,M,129,97,6,3,2005,14
GBT,CL58432,A,M,132,107,28,12,2005,10
GBT,CL58433,J,F,123,94,25,9,2004,12
GBT,CL58433,F,F,124,104,31,1,2005,9
GBT,CL58433,F,F,122,99,28,2,2005,12
GBT,CL58434,F,M,129,102,9,12,2004,12
GBT,CL58434,F,M,127,106,24,1,2005,9
GBT,CL58434,F,M,128,106,3,3,2005,16
GBT,CL58435,A,F,128,96,11,12,2004,14
GBT,CL58435,A,F,128,96,5,2,2005,10
GBT,CL58435,A,F,,88,18,8,2005,9
GBT,CL58436,F,F,128,100,11,12,2004,15
GBT,CL58436,F,F,129,105,10,1,2005,8
GBT,CL58436,F,F,127,97,9,4,2005,8
GBT,CL58436,A,F,130,126,30,11,2005,14
GBT,CL58436,A,F,129,104,5,6,2006,16
GBT,CL58436,A,F,130,100,30,4,2007,10
GBT,CL58436,A,F,130,103,18,3,2008,12
GBT,CL58436,A,F,130,107,24,4,2008,12
GBT,CL58437,A,M,135,131,16,12,2004,12
GBT,CL58437,A,M,135,121,27,1,2005,12
GBT,CL58437,A,M,136,112,15,2,2005,16
GBT,CL58437,A,M,136,106,4,3,2005,15
GBT,CL58437,A,M,136,101,20,3,2005,14
GBT,CL58437,A,M,137,98,11,6,2005,8
GBT,CL58437,F,M,135,101,25,6,2005,17
GBT,CL58437,A,M,135,99,17,10,2005,8
GBT,CL58437,A,M,135,134,6,12,2005,14
GBT,CL58437,A,M,135,127,17,12,2005,8
GBT,CL58437,A,M,136,128,24,12,2005,13
GBT,CL58437,A,M,135,122,27,12,2005,8
GBT,CL58437,A,M,136,132,31,12,2005,13
GBT,CL58437,A,M,135,120,3,2,2006,7
GBT,CL58437,A,M,135,112,9,2,2006,7
GBT,CL58437,A,M,135,99,20,2,2006,13
GBT,CL58437,A,M,135,102,27,2,2006,15
GBT,CL58437,A,M,135,100,7,3,2006,13
GBT,CL58437,A,M,135,98,31,3,2006,17
GBT,CL58437,A,M,135,99,25,4,2006,8
GBT,CL58437,A,M,133,97,5,5,2006,18
GBT,CL58438,F,F,124,102,19,12,2004,14
GBT,CL58439,F,M,127,100,19,12,2004,14
GBT,CL58440,A,F,125,106,20,12,2004,15
GBT,CL58440,A,F,125,100,23,4,2005,7
GBT,CL58440,A,F,127,108,12,5,2006,14
GBT,CL58441,F,M,129,111,20,12,2004,15
GBT,CL58442,A,M,132,102,21,12,2004,11
GBT,CL58442,A,M,130,88,21,5,2008,16
GBT,CL58443,F,M,131,110,21,12,2004,12
GBT,CL58444,F,M,131,110,21,12,2004,15
GBT,CL58444,F,M,131,98,1,3,2005,14
GBT,CL58444,F,M,130,94,9,4,2005,8
GBT,CL58444,F,M,130,96,19,4,2005,14
GBT,CL58444,A,M,132,121,17,12,2005,8
GBT,CL58444,A,M,132,125,23,12,2005,14
GBT,CL58444,A,M,132,132,4,1,2006,12
GBT,CL58444,A,M,130,96,10,3,2007,17
GBT,CL58444,A,M,134,140,30,12,2007,16
GBT,CL58444,A,M,132,109,21,2,2008,16
GBT,CL58444,A,M,132,94,21,3,2008,17
GBT,CL58444,A,M,132,89,17,5,2008,6
GBT,CL58444,A,M,132,93,20,3,2009,12
GBT,CL58444,A,M,132,96,29,3,2009,10
GBT,CL58444,A,M,130,91,18,5,2009,8
GBT,CL58445,F,F,125,109,22,12,2004,10
GBT,CL58446,A,F,127,95,24,12,2004,9
GBT,CL58447,A,F,129,100,24,12,2004,9
GBT,CL58448,F,M,127,111,28,12,2004,8
GBT,CL58448,F,M,124,109,30,1,2005,10
GBT,CL58448,F,M,123,105,1,2,2005,9
GBT,CL58448,F,M,124,105,6,2,2005,13
GBT,CL58448,F,M,123,100,12,2,2005,9
GBT,CL58448,F,M,123,89,20,3,2005,14
GBT,CL58448,F,M,122,92,14,4,2005,15
GBT,CL58448,F,M,122,88,24,4,2005,17
GBT,CL58449,F,M,128,99,28,12,2004,9
GBT,CL58450,F,F,125,104,28,12,2004,11
GBT,CL58451,A,F,131,127,28,12,2004,13
GBT,CL58452,A,M,136,119,6,1,2005,15
GBT,CL58453,A,F,130,110,9,1,2005,15
GBT,CL58454,A,M,137,120,10,1,2005,10
GBT,CL58454,A,M,136,114,19,1,2005,14
GBT,CL58454,A,M,137,127,5,3,2005,8
GBT,CL58454,A,M,136,136,11,3,2005,11
GBT,CL58454,A,M,137,126,14,3,2005,16
GBT,CL58455,A,M,135,102,10,1,2005,11
GBT,CL58456,F,F,124,104,12,1,2005,8
GBT,CL58457,F,M,129,102,12,1,2005,14
GBT,CL58458,A,F,134,112,14,1,2005,14
GBT,CL58458,A,F,134,103,15,1,2005,13
GBT,CL58459,F,F,134,115,14,1,2005,16
GBT,CL58459,F,F,135,110,2,2,2005,11
GBT,CL58460,F,M,134,115,18,1,2005,11
GBT,CL58460,A,M,137,114,11,2,2006,16
GBT,CL58460,A,M,137,105,23,2,2007,9
GBT,CL58460,A,M,137,104,28,3,2008,9
GBT,CL58460,A,M,,103,5,7,2008,17
GBT,CL58460,A,M,,103,7,7,2008,17
GBT,CL58460,A,M,134,104,8,5,2009,6
GBT,CL58460,A,M,137,105,21,5,2009,19
GBT,CL58460,A,M,138,94,7,3,2011,9
GBT,CL58461,F,F,122,89,19,1,2005,13
GBT,CL58461,F,F,122,86,21,1,2005,10
GBT,CL58461,F,F,122,90,28,1,2005,11
GBT,CL58462,F,M,130,116,21,1,2005,14
GBT,CL58463,A,F,132,108,25,1,2005,14
GBT,CL58464,A,M,139,132,25,1,2005,15
GBT,CL58464,A,M,139,116,9,2,2005,14
GBT,CL58464,A,M,139,113,14,2,2005,9
GBT,CL58464,A,M,139,119,21,2,2005,16
GBT,CL58464,A,M,139,123,11,3,2005,9
GBT,CL58464,A,M,138,115,6,2,2007,9
GBT,CL58464,A,M,139,112,10,2,2007,13
GBT,CL58465,F,F,126,102,25,1,2005,16
GBT,CL58466,A,F,135,116,26,1,2005,13
GBT,CL58467,A,F,134,110,28,1,2005,11
GBT,CL58468,A,F,126,111,30,1,2005,11
GBT,CL58468,A,F,126,109,26,2,2005,16
GBT,CL58468,A,F,126,121,18,12,2005,10
GBT,CL58469,A,M,141,127,31,1,2005,16
GBT,CL58470,F,F,121,94,2,2,2005,10
GBT,CL58471,A,M,143,109,2,2,2005,11
GBT,CL58471,A,M,143,103,9,2,2005,12
GBT,CL58472,F,M,129,103,4,2,2005,7
GBT,CL58473,A,F,129,104,4,2,2005,8
GBT,CL58474,F,M,132,104,5,2,2005,8
GBT,CL58475,A,M,136,107,5,2,2005,8
GBT,CL58476,A,F,135,106,5,2,2005,10
GBT,CL58477,A,M,132,91,5,2,2005,11
GBT,CL58478,F,M,137,121,5,2,2005,14
GBT,CL58479,A,F,130,95,5,2,2005,15
GBT,CL58479,A,F,129,98,13,3,2005,13
GBT,CL58479,A,F,130,96,12,6,2005,16
GBT,CL58480,F,F,126,95,5,2,2005,15
GBT,CL58480,U,F,125,92,4,3,2005,14
GBT,CL58480,F,F,126,105,16,4,2005,15
GBT,CL58480,A,F,127,119,29,12,2005,8
GBT,CL58480,A,F,127,109,31,12,2005,10
GBT,CL58480,A,F,126,109,4,1,2006,15
GBT,CL58481,A,M,136,103,8,2,2005,8
GBT,CL58481,A,M,135,118,29,12,2005,10
GBT,CL58482,A,M,132,100,10,2,2005,15
GBT,CL58483,F,M,129,108,14,2,2005,11
GBT,CL58484,F,F,121,97,14,2,2005,13
GBT,CL58485,F,M,130,100,15,2,2005,9
GBT,CL58486,F,M,130,99,15,2,2005,16
GBT,CL58487,F,M,123,91,15,2,2005,17
GBT,CL58487,F,M,123,89,15,3,2005,8
GBT,CL58488,A,F,132,109,17,2,2005,8
GBT,CL58488,A,F,132,108,23,2,2005,14
GBT,CL58489,A,M,137,105,19,2,2005,11
GBT,CL58490,F,F,128,112,19,2,2005,11
GBT,CL58491,F,M,130,101,21,2,2005,8
GBT,CL58491,F,M,129,97,13,3,2005,11
GBT,CL58492,A,M,131,114,21,2,2005,10
GBT,CL58493,F,F,125,97,21,2,2005,11
GBT,CL58494,A,M,136,95,21,2,2005,11
GBT,CL58495,A,M,138,106,21,2,2005,16
GBT,CL58496,F,M,126,96,22,2,2005,15
GBT,CL58497,A,F,129,96,22,2,2005,15
GBT,CL58497,A,F,126,98,31,5,2006,18
GBT,CL58497,A,F,127,92,16,6,2006,8
GBT,CL58497,A,F,126,93,26,7,2008,11
GBT,CL58497,A,F,125,99,30,7,2008,7
GBT,CL58497,A,F,128,85,10,5,2009,5
GBT,CL58497,A,F,128,92,18,5,2009,8
GBT,CL58498,F,M,133,102,23,2,2005,11
GBT,CL58499,F,M,130,106,23,2,2005,12
GBT,CL58500,F,F,129,103,23,2,2005,12
GBT,CT32702,J,M,128,96,8,8,2013,12
GBT,CT32702,J,M,129,94,10,8,2013,13
GBT,CT32702,J,M,129,97,15,8,2013,18
GBT,CT32702,F,M,128,105,25,1,2014,15
GBT,CT32702,F,M,128,101,28,1,2014,11
GBT,CT32702,U,M,,97,11,7,2014,7
GBT,CT32703,J,M,125,88,14,8,2013,12
GBT,CT32703,J,M,125,88,15,8,2013,9
GBT,CT32703,A,M,129,107,5,2,2015,7
GBT,CT32704,A,F,126,103,15,8,2013,6
GBT,CT32704,A,F,128,103,22,7,2014,6
GBT,CT32705,J,M,133,110,15,8,2013,13
GBT,CT32705,F,M,133,108,20,1,2014,7
GBT,CT32706,J,U,128,97,21,8,2013,8
GBT,CT32706,J,M,129,100,22,8,2013,15
GBT,CT32707,J,U,125,70,31,8,2013,7
GBT,CT32708,J,U,128,98,31,8,2013,8
GBT,CT32709,F,M,127,96,2,10,2013,7
